"TYPE","SUB_TYPE","CODE","UPDATE_ALLOWED","MANUAL","TRANSFERRED","TRANSFER_DATE","TRANSFER_FILE_NAME","CREATION_DATE","CREATED_BY","ATTRIBUTE1","ATTRIBUTE2","ATTRIBUTE3","ATTRIBUTE4","ATTRIBUTE5","ATTRIBUTE6","ATTRIBUTE7","ATTRIBUTE8","ATTRIBUTE9","ATTRIBUTE10","ATTRIBUTE11","ATTRIBUTE12","ATTRIBUTE13","ATTRIBUTE14","ATTRIBUTE15","ATTRIBUTE16","ATTRIBUTE17","ATTRIBUTE18","ATTRIBUTE19","ATTRIBUTE20","ATTRIBUTE21","ATTRIBUTE22","ATTRIBUTE23","ATTRIBUTE24","ATTRIBUTE25","ATTRIBUTE26","ATTRIBUTE27","ATTRIBUTE28","ATTRIBUTE29","ATTRIBUTE30","ATTRIBUTE31","ATTRIBUTE32","ATTRIBUTE33","ATTRIBUTE34","ATTRIBUTE35","ATTRIBUTE36","ATTRIBUTE37","ATTRIBUTE38","ATTRIBUTE39","ATTRIBUTE40","ATTRIBUTE41","ATTRIBUTE42","ATTRIBUTE43","ATTRIBUTE44","ATTRIBUTE45","ATTRIBUTE46","ATTRIBUTE47","ATTRIBUTE48","ATTRIBUTE49","ATTRIBUTE50","ATTRIBUTE51","ATTRIBUTE52","ATTRIBUTE53","ATTRIBUTE54","ATTRIBUTE55","ATTRIBUTE56","ATTRIBUTE57","ATTRIBUTE58","ATTRIBUTE59","ATTRIBUTE60"
"01","SALES03","354-15576-64-1125153","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","31/08/2016 11:22:45","15576","240","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-15294-77-1139338","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","29/09/2016 14:43:33","15294","1","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-14043-1-1017168","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Tân Thắng","Thôn Hàm Thắng, xã Tân Thắng, huyện Hàm Tân, tỉnh Bình Thuận, Viêt Nam","VietGAP","12/01/2016 15:20:56","14043","2","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-15135-52-1118648","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Tân Thắng","Thôn Hàm Thắng, xã Tân Thắng, huyện Hàm Tân, tỉnh Bình Thuận, Viêt Nam","VietGAP","17/08/2016 16:29:38","15135","2","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-13778-1-1017168","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Tân Thắng","Thôn Hàm Thắng, xã Tân Thắng, huyện Hàm Tân, tỉnh Bình Thuận, Viêt Nam","VietGAP","12/01/2016 15:20:56","13778","1","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-15494-36-1108310","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","28/07/2016 14:06:15","15494","300","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-15341-54-1118705","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","02/08/2016 09:31:18","15341","90","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-15494-55-1118707","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","05/08/2016 09:40:18","15494","270","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-13468-1-1017168","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Tân Thắng","Thôn Hàm Thắng, xã Tân Thắng, huyện Hàm Tân, tỉnh Bình Thuận, Viêt Nam","VietGAP","12/01/2016 15:20:56","13468","1","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES01","354-15204-87-1145903","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:35","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","14/10/2016 14:15:13","15204","73","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES01","354-15204-87-1145902","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:35","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","14/10/2016 14:14:41","15204","86","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES01","354-15204-87-1145904","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:35","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","14/10/2016 14:15:26","15204","25","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES01","354-15204-87-1145901","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:35","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","14/10/2016 14:13:55","15204","68","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-15341-33-1104852","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","22/07/2016 11:21:13","15341","52","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-15494-39-1110971","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","02/08/2016 15:21:42","15494","130","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-15576-58-1122116","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","23/08/2016 10:05:53","15576","250","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-15814-72-1134418","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","20/09/2016 10:31:23","15814","150","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-15576-77-1139338","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","29/09/2016 14:43:33","15576","1","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES01","354-15204-90-1147865","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/14 15:23:25","NKHANG","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","14/11/2016 15:21:54","15204","10","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","4567ABC","NGUYEN VAN LINH","GKD001","LE VAN CON","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES01","354-15342-95-1147870","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/15 08:28:29","NKHANG","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","15/11/2016 08:25:58","15342","1","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES01","TEST","Y","Y","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 01:15:17","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","28/07/2016 14:06:15","15341","50","2070","CÔNG TY CỔ PHẦN ANOVA FEED","","","","","","354","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-15341-36-1108310","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/11 23:31:20","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","28/07/2016 14:06:15","15341","50","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","ABC124","NGUYEN VAN NAM","GKD1","LE VAN SY","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES01","354-15342-93-1147868","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/14 16:01:42","THUYNT","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","14/11/2016 16:01:16","15342","2","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","Số Xe 93","Tài Xế 93","Giấy kiểm dịch 93","NV kiểm 93","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES01","354-15814-95-1147870","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/15 08:28:44","NKHANG","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","15/11/2016 08:25:58","15814","2","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-15341-44-1112360","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/14 13:19:08","NKHANG","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","05/08/2016 13:34:58","15341","50","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","12345ABC","tra va","888888","thiu le","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES01","354-15342-96-1147872","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/15 09:48:30","THUYNT","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","15/11/2016 09:41:10","15342","2","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","Số xe 96","Tài xế 96","Giấy kiểm dịch 96","NV kiểm dịch 96","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
